,id,player_name,country,base_price,type,final_price,team_id
0,1,aaron finch,Australia,100,batsman,0,0
1,2,alex hales,England,150,batsman,0,0
2,3,evin lewis,West Indies,100,batsman,0,0
3,4,karun nair,India,50,batsman,50,4
4,5,jason roy,England,200,batsman,0,0
5,6,steve smith,Australia,200,batsman,220,2
6,7,hanuma vihari,India,100,batsman,0,0
7,8,shakib al hasan,Bangladesh,200,all,320,4
8,9,moeen ali,England,200,all,700,1
9,10,shivam dube,India,50,all,440,6
10,11,kedar jadhav,India,200,all,200,8
11,12,dawid malan,England,150,all,150,3
12,13,glenn maxwell,Australia,200,all,1425,7
13,14,chris morris,South Africa,75,all,1625,6
14,15,sam billings,England,200,wkt,200,2
15,16,alex carey,Australia,150,wkt,0,0
16,17,kusal perera,Sri Lanka,50,wkt,0,0
17,18,glenn phillips,New Zealand,50,wkt,0,0
18,19,sheldon cottrell,West Indies,100,bowler,0,0
19,20,nathan coulter nile,Australia,150,bowler,500,5
20,21,adam milne,New Zealand,50,bowler,320,5
21,22,mustafizur rahman,Bangladesh,100,bowler,100,6
22,23,jhye richardson,Australia,150,bowler,1400,3
23,24,mark wood,England,200,bowler,,
24,25,umesh yadav,India,100,bowler,100,2
25,26,qais ahmad,Afghanistan,50,bowler,0,0
26,27,piyush chawla,India,50,bowler,240,5
27,28,mujeeb ur rahman,Afghanistan,150,bowler,150,8
28,29,adil rashid,England,150,bowler,0,0
29,30,rahul sharma,India,50,bowler,0,0
30,31,harbhajan singh,India,200,bowler,200,4
31,32,ish sodhi,New Zealand,50,bowler,0,0
32,33,sachin baby,India,20,batsman,20,7
33,34,rahul gahlaut,India,20,batsman,0,0
34,35,c hari nishaanth,India,20,batsman,20,1
35,36,rajat patidar,India,20,batsman,20,7
36,37,himanshu rana,India,20,batsman,0,0
37,38,himmat singh,India,20,batsman,0,0
38,39,vishnu solanki,India,20,batsman,0,0
39,40,ayush badoni,India,20,all,0,0
40,41,k gowtham,India,20,all,925,1
41,42,venkatesh iyer,India,20,all,20,4
42,43,shahrukh khan,India,20,all,525,3
43,44,ripal patel,India,20,all,20,2
44,45,atit sheth,India,20,all,0,0
45,46,vivek singh,India,20,all,0,0
46,47,mohammed azharuddeen,India,20,wkt,20,7
47,48,avi barot,India,20,wkt,0,0
48,49,kedar devdhar,India,20,wkt,0,0
49,50,sheldon jackson,India,20,wkt,20,4
50,51,vishnu vinod,India,20,wkt,20,2
51,52,tushar deshpande,India,20,bowler,0,0
52,53,riley meredith,Australia,40,bowler,800,3
53,54,lukman hussain meriwala,India,20,bowler,20,2
54,55,ankit singh rajpoot,India,30,bowler,0,0
55,56,chetan sakariya,India,20,bowler,120,6
56,57,kuldeep sen,India,20,bowler,0,0
57,58,mujtaba yousuf,India,20,bowler,0,0
58,59,tejas baroka,India,20,bowler,0,0
59,60,k c cariappa,India,20,bowler,20,6
60,61,sandeep lamichhane,Nepal,40,bowler,0,0
61,62,m siddharth,India,20,bowler,20,2
62,63,karanveer singh,India,20,bowler,0,0
63,64,jagadeesha suchith,India,20,bowler,30,8
64,65,midhun sudhesan,India,20,bowler,0,0
65,66,corey anderson,New Zealand,75,batsman,0,0
66,67,darren bravo,West Indies,75,batsman,0,0
67,68,devon conway,New Zealand,50,batsman,0,0
68,69,martin guptill,New Zealand,50,batsman,0,0
69,70,shaun marsh,Australia,150,batsman,0,0
70,71,rovman powell,West Indies,50,batsman,0,0
71,72,cheteshwar pujara,India,50,batsman,50,1
72,73,rassie van der dussen,South Africa,50,batsman,0,0
73,74,tom curran,England,150,all,525,2
74,75,ben cutting,Australia,75,all,75,4
75,76,moises henriques,Australia,100,all,420,3
76,77,kyle jamieson,New Zealand,75,all,1500,7
77,78,marnus labuschagne,Australia,100,all,0,0
78,79,pawan negi,India,50,all,50,4
79,80,gurkeerat singh,India,50,all,0,0
80,81,varun aaron,India,50,bowler,0,0
81,82,jason behrendorff,Australia,100,bowler,0,0
82,83,mitchell mcclenaghan,New Zealand,50,bowler,0,0
83,84,naveen ul haq,Afghanistan,50,bowler,0,0
